Model,Accuracy,MAE,R2,Improvement (Acc)
Logistic Regression,0.7237237237237237,0.3893893893893894,-0.1348786519292624,-3.4068136272545138
Decision Tree,0.6901901901901902,0.41791791791791794,-0.16901727804420763,-7.882431529726118
Random Forest,0.7492492492492493,0.34684684684684686,0.006289180383889814,0.0
SVM,0.7452452452452453,0.3538538538538539,-0.017700124453639443,-0.5344021376085532
MLP (Neural Net),0.7492492492492493,0.3458458458458458,0.011825173807935019,0.0
DQN (RL Baseline),0.7312312312312312,0.3718718718718719,-0.06567873412869751,-2.4048096192384816
Hybrid Ensemble (Proposed),0.7547547547547547,0.34034034034034033,0.021974495085351098,0.7348029392117477
